year,city,country,avg_temp
1853,Prague,Czech Republic,6.84
1854,Prague,Czech Republic,7.85
1855,Prague,Czech Republic,6.60
1856,Prague,Czech Republic,7.88
1857,Prague,Czech Republic,8.32
1858,Prague,Czech Republic,7.06
1859,Prague,Czech Republic,8.92
1860,Prague,Czech Republic,7.29
1861,Prague,Czech Republic,8.16
1862,Prague,Czech Republic,8.58
1863,Prague,Czech Republic,9.26
1864,Prague,Czech Republic,6.27
1865,Prague,Czech Republic,8.10
1866,Prague,Czech Republic,8.88
1867,Prague,Czech Republic,7.97
1868,Prague,Czech Republic,9.75
1869,Prague,Czech Republic,8.40
1870,Prague,Czech Republic,6.71
1871,Prague,Czech Republic,6.29
1872,Prague,Czech Republic,9.29
1873,Prague,Czech Republic,8.65
1874,Prague,Czech Republic,8.10
1875,Prague,Czech Republic,7.25
1876,Prague,Czech Republic,7.99
1877,Prague,Czech Republic,8.26
1878,Prague,Czech Republic,8.51
1879,Prague,Czech Republic,6.85
1880,Prague,Czech Republic,8.37
1881,Prague,Czech Republic,7.14
1882,Prague,Czech Republic,8.50
1883,Prague,Czech Republic,7.82
1884,Prague,Czech Republic,8.41
1885,Prague,Czech Republic,8.03
1886,Prague,Czech Republic,8.14
1887,Prague,Czech Republic,7.18
1888,Prague,Czech Republic,7.14
1889,Prague,Czech Republic,7.59
1890,Prague,Czech Republic,7.64
1891,Prague,Czech Republic,7.66
1892,Prague,Czech Republic,7.78
1893,Prague,Czech Republic,7.84
1894,Prague,Czech Republic,8.23
1895,Prague,Czech Republic,7.44
1896,Prague,Czech Republic,7.65
1897,Prague,Czech Republic,8.09
1898,Prague,Czech Republic,8.96
1899,Prague,Czech Republic,8.03
1900,Prague,Czech Republic,8.50
1901,Prague,Czech Republic,7.72
1902,Prague,Czech Republic,7.16
1903,Prague,Czech Republic,8.56
1904,Prague,Czech Republic,8.60
1905,Prague,Czech Republic,8.19
1906,Prague,Czech Republic,8.50
1907,Prague,Czech Republic,7.99
1908,Prague,Czech Republic,7.60
1909,Prague,Czech Republic,7.53
1910,Prague,Czech Republic,8.52
1911,Prague,Czech Republic,9.10
1912,Prague,Czech Republic,7.64
1913,Prague,Czech Republic,8.42
1914,Prague,Czech Republic,8.45
1915,Prague,Czech Republic,8.00
1916,Prague,Czech Republic,8.84
1917,Prague,Czech Republic,7.66
1918,Prague,Czech Republic,8.85
1919,Prague,Czech Republic,7.43
1920,Prague,Czech Republic,8.73
1921,Prague,Czech Republic,9.09
1922,Prague,Czech Republic,7.08
1923,Prague,Czech Republic,8.08
1924,Prague,Czech Republic,7.53
1925,Prague,Czech Republic,8.45
1926,Prague,Czech Republic,8.87
1927,Prague,Czech Republic,8.20
1928,Prague,Czech Republic,8.44
1929,Prague,Czech Republic,7.32
1930,Prague,Czech Republic,8.88
1931,Prague,Czech Republic,7.64
1932,Prague,Czech Republic,8.41
1933,Prague,Czech Republic,7.47
1934,Prague,Czech Republic,9.93
1935,Prague,Czech Republic,8.52
1936,Prague,Czech Republic,8.56
1937,Prague,Czech Republic,8.77
1938,Prague,Czech Republic,8.84
1939,Prague,Czech Republic,8.51
1940,Prague,Czech Republic,6.43
1941,Prague,Czech Republic,6.97
1942,Prague,Czech Republic,7.25
1943,Prague,Czech Republic,9.02
1944,Prague,Czech Republic,8.28
1945,Prague,Czech Republic,8.88
1946,Prague,Czech Republic,8.46
1947,Prague,Czech Republic,8.34
1948,Prague,Czech Republic,9.15
1949,Prague,Czech Republic,9.22
1950,Prague,Czech Republic,8.82
1951,Prague,Czech Republic,9.10
1952,Prague,Czech Republic,8.12
1953,Prague,Czech Republic,9.32
1954,Prague,Czech Republic,7.77
1955,Prague,Czech Republic,7.68
1956,Prague,Czech Republic,6.87
1957,Prague,Czech Republic,8.77
1958,Prague,Czech Republic,8.42
1959,Prague,Czech Republic,9.08
1960,Prague,Czech Republic,8.47
1961,Prague,Czech Republic,9.13
1962,Prague,Czech Republic,7.47
1963,Prague,Czech Republic,7.50
1964,Prague,Czech Republic,8.19
1965,Prague,Czech Republic,7.65
1966,Prague,Czech Republic,8.94
1967,Prague,Czech Republic,9.26
1968,Prague,Czech Republic,8.48
1969,Prague,Czech Republic,7.95
1970,Prague,Czech Republic,7.87
1971,Prague,Czech Republic,8.63
1972,Prague,Czech Republic,8.26
1973,Prague,Czech Republic,8.48
1974,Prague,Czech Republic,9.16
1975,Prague,Czech Republic,9.26
1976,Prague,Czech Republic,8.59
1977,Prague,Czech Republic,8.84
1978,Prague,Czech Republic,8.05
1979,Prague,Czech Republic,8.19
1980,Prague,Czech Republic,7.54
1981,Prague,Czech Republic,8.51
1982,Prague,Czech Republic,9.23
1983,Prague,Czech Republic,9.41
1984,Prague,Czech Republic,8.16
1985,Prague,Czech Republic,7.74
1986,Prague,Czech Republic,8.29
1987,Prague,Czech Republic,7.61
1988,Prague,Czech Republic,9.19
1989,Prague,Czech Republic,9.78
1990,Prague,Czech Republic,9.76
1991,Prague,Czech Republic,8.45
1992,Prague,Czech Republic,9.72
1993,Prague,Czech Republic,8.76
1994,Prague,Czech Republic,9.97
1995,Prague,Czech Republic,9.02
1996,Prague,Czech Republic,7.28
1997,Prague,Czech Republic,8.82
1998,Prague,Czech Republic,9.36
1999,Prague,Czech Republic,9.64
2000,Prague,Czech Republic,10.30
2001,Prague,Czech Republic,8.98
2002,Prague,Czech Republic,9.73
2003,Prague,Czech Republic,9.51
2004,Prague,Czech Republic,9.17
2005,Prague,Czech Republic,9.12
2006,Prague,Czech Republic,9.67
2007,Prague,Czech Republic,10.25
2008,Prague,Czech Republic,9.91
2009,Prague,Czech Republic,9.47
2010,Prague,Czech Republic,8.13
2011,Prague,Czech Republic,9.84
2012,Prague,Czech Republic,9.51
2013,Prague,Czech Republic,9.57
